nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

WARNING (theano.gof.compilelock): Overriding existing lock by dead process '62925' (I am process '63143')
Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
110/250  Train Acc = 0.550000
120/250  Train Acc = 0.370000
130/250  Train Acc = 0.350000
140/250  Train Acc = 0.440000
150/250  Train Acc = 0.470000
160/250  Train Acc = 0.320000
170/250  Train Acc = 0.500000
180/250  Train Acc = 0.340000
190/250  Train Acc = 0.420000
200/250  Train Acc = 0.320000
210/250  Train Acc = 0.460000
220/250  Train Acc = 0.480000
230/250  Train Acc = 0.330000
240/250  Train Acc = 0.470000
250/250  Train Acc = 0.490000
	Train cost = 1.484782,	Accuracy = 0.438560
10/250  Test Acc = 0.310000
20/250  Test Acc = 0.410000
30/250  Test Acc = 0.320000
40/250  Test Acc = 0.390000
50/250  Test Acc = 0.430000
60/250  Test Acc = 0.250000
70/250  Test Acc = 0.420000
80/250  Test Acc = 0.390000
90/250  Test Acc = 0.480000
100/250  Test Acc = 0.300000
110/250  Test Acc = 0.420000
120/250  Test Acc = 0.330000
130/250  Test Acc = 0.470000
140/250  Test Acc = 0.350000
150/250  Test Acc = 0.370000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.350000
180/250  Test Acc = 0.430000
190/250  Test Acc = 0.310000
200/250  Test Acc = 0.330000
210/250  Test Acc = 0.460000
220/250  Test Acc = 0.290000
230/250  Test Acc = 0.480000
240/250  Test Acc = 0.380000
250/250  Test Acc = 0.390000
	Test cost = 1.530664,	Accuracy = 0.406800
Epoch = 9
10/250  Train Acc = 0.500000
20/250  Train Acc = 0.440000
30/250  Train Acc = 0.410000
40/250  Train Acc = 0.400000
50/250  Train Acc = 0.550000
60/250  Train Acc = 0.270000
70/250  Train Acc = 0.400000
80/250  Train Acc = 0.410000
90/250  Train Acc = 0.290000
100/250  Train Acc = 0.540000
110/250  Train Acc = 0.570000
120/250  Train Acc = 0.380000
130/250  Train Acc = 0.320000
140/250  Train Acc = 0.430000
150/250  Train Acc = 0.480000
160/250  Train Acc = 0.360000
170/250  Train Acc = 0.480000
180/250  Train Acc = 0.330000
190/250  Train Acc = 0.430000
200/250  Train Acc = 0.350000
210/250  Train Acc = 0.480000
220/250  Train Acc = 0.470000
230/250  Train Acc = 0.310000
240/250  Train Acc = 0.540000
250/250  Train Acc = 0.500000
	Train cost = 1.459091,	Accuracy = 0.448480
10/250  Test Acc = 0.290000
20/250  Test Acc = 0.430000
30/250  Test Acc = 0.340000
40/250  Test Acc = 0.430000
50/250  Test Acc = 0.420000
60/250  Test Acc = 0.250000
70/250  Test Acc = 0.430000
80/250  Test Acc = 0.410000
90/250  Test Acc = 0.480000
100/250  Test Acc = 0.290000
110/250  Test Acc = 0.450000
120/250  Test Acc = 0.310000
130/250  Test Acc = 0.440000
140/250  Test Acc = 0.330000
150/250  Test Acc = 0.350000
160/250  Test Acc = 0.410000
170/250  Test Acc = 0.370000
180/250  Test Acc = 0.440000
190/250  Test Acc = 0.270000
200/250  Test Acc = 0.380000
210/250  Test Acc = 0.460000
220/250  Test Acc = 0.280000
230/250  Test Acc = 0.460000
240/250  Test Acc = 0.370000
250/250  Test Acc = 0.450000
	Test cost = 1.516535,	Accuracy = 0.408680
Epoch = 10
10/250  Train Acc = 0.510000
20/250  Train Acc = 0.450000
30/250  Train Acc = 0.480000
40/250  Train Acc = 0.390000
50/250  Train Acc = 0.530000
60/250  Train Acc = 0.370000
70/250  Train Acc = 0.460000
80/250  Train Acc = 0.510000
90/250  Train Acc = 0.330000
100/250  Train Acc = 0.550000
110/250  Train Acc = 0.560000
120/250  Train Acc = 0.400000
130/250  Train Acc = 0.390000
140/250  Train Acc = 0.430000
150/250  Train Acc = 0.500000
160/250  Train Acc = 0.360000
170/250  Train Acc = 0.530000
180/250  Train Acc = 0.380000
190/250  Train Acc = 0.400000
200/250  Train Acc = 0.350000
210/250  Train Acc = 0.490000
220/250  Train Acc = 0.460000
230/250  Train Acc = 0.340000
240/250  Train Acc = 0.540000
250/250  Train Acc = 0.520000
	Train cost = 1.419222,	Accuracy = 0.462000
10/250  Test Acc = 0.300000
20/250  Test Acc = 0.410000
30/250  Test Acc = 0.320000
40/250  Test Acc = 0.370000
50/250  Test Acc = 0.440000
60/250  Test Acc = 0.300000
70/250  Test Acc = 0.390000
80/250  Test Acc = 0.420000
90/250  Test Acc = 0.500000
100/250  Test Acc = 0.280000
110/250  Test Acc = 0.480000
120/250  Test Acc = 0.380000
130/250  Test Acc = 0.490000
140/250  Test Acc = 0.330000
150/250  Test Acc = 0.350000
160/250  Test Acc = 0.420000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.450000
190/250  Test Acc = 0.280000
200/250  Test Acc = 0.350000
210/250  Test Acc = 0.440000
220/250  Test Acc = 0.300000
230/250  Test Acc = 0.500000
240/250  Test Acc = 0.400000
250/250  Test Acc = 0.380000
	Test cost = 1.522376,	Accuracy = 0.410480
Best Epoch = 10, Best MAE/ACC in Test = 0.410480
Written to results/lstml_drop_0.0_lamb_0.0_fine.txt
