nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
180/250  Train Acc = 0.670000
190/250  Train Acc = 0.630000
200/250  Train Acc = 0.540000
210/250  Train Acc = 0.590000
220/250  Train Acc = 0.550000
230/250  Train Acc = 0.620000
240/250  Train Acc = 0.550000
250/250  Train Acc = 0.500000
	Train cost = 1.078002,	Accuracy = 0.569960
10/250  Test Acc = 0.360000
20/250  Test Acc = 0.510000
30/250  Test Acc = 0.430000
40/250  Test Acc = 0.410000
50/250  Test Acc = 0.430000
60/250  Test Acc = 0.580000
70/250  Test Acc = 0.400000
80/250  Test Acc = 0.510000
90/250  Test Acc = 0.460000
100/250  Test Acc = 0.470000
110/250  Test Acc = 0.450000
120/250  Test Acc = 0.350000
130/250  Test Acc = 0.280000
140/250  Test Acc = 0.370000
150/250  Test Acc = 0.360000
160/250  Test Acc = 0.480000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.510000
190/250  Test Acc = 0.590000
200/250  Test Acc = 0.580000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.460000
230/250  Test Acc = 0.540000
240/250  Test Acc = 0.410000
250/250  Test Acc = 0.500000
	Test cost = 1.593560,	Accuracy = 0.430480
Best Epoch = 6, Best MAE/ACC in Test = 0.447760
Written to results/ours_drop_0.0_lamb_0.0_fine.txt
Dump attention to att.pkl
